"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"381512","433101","2962.17","2037.83",".00",".00","2037.83","5000.00",".00","5000.00",".00","5000.00",".00",".00","2962.17",".00","2037.83","2037.83","5000.00",".00","5000.00","5000.00",".00","","{5D1EE246-056F-E339-D390-54CAFC4F91D6}"
"381515","433104","1540.92",".00",".00",".00",".00","1540.92",".00",".00",".00",".00","1540.92",".00","1540.92",".00",".00",".00","1540.92",".00",".00",".00","1540.92","","{7C113F9B-26DE-9DB3-50C7-C91FA262FDDD}"
"381517","433106","1540.92",".00",".00",".00",".00","1540.92",".00",".00",".00",".00","1540.92",".00","1540.92",".00",".00",".00","1540.92",".00",".00",".00","1540.92","","{2271DEAB-46E4-9690-9C73-C6EE84C5D1C3}"
"381518","433107","1540.92",".00",".00",".00",".00","1540.92",".00",".00",".00",".00","1540.92",".00","1540.92",".00",".00",".00","1540.92",".00",".00",".00","1540.92","","{065CF75C-8C6B-806B-407C-EFA6C8DA9822}"
"381519","433108","1540.92",".00",".00",".00",".00","1540.92",".00",".00",".00",".00","1540.92",".00","1540.92",".00",".00",".00","1540.92",".00",".00",".00","1540.92","","{754008A1-F414-F1F3-5F9B-D2AAA201DD59}"
"381522","433111","534.40",".00",".00",".00",".00","534.40",".00",".00",".00",".00","534.40",".00","534.40",".00",".00",".00","534.40",".00",".00",".00","534.40","","{4BB97896-EFF3-A0D7-FABA-1DC48F977BDD}"
"381524","433113","345.72","3628.40",".00",".00","3628.40","3974.12",".00","3974.12",".00","3974.12",".00",".00","3.14","802.58","3628.40","4430.98","4434.12","460.00","3974.12","4434.12",".00","","{079D9CCD-04E1-A5D7-DD8B-F7028DE9584E}"
"381526","433116",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{AD419901-0AF6-6CFD-FDB4-866A927BE596}"
"381534","433126","10372.00","30000.00",".00",".00","30000.00","40372.00","10372.00","30000.00",".00","40372.00",".00",".00","10372.00",".00","30000.00","30000.00","40372.00",".00","40372.00","40372.00",".00","","{66D2D1A0-B654-F268-D8AC-78ED91D8D745}"
