"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"407089","467755","1332.44",".00",".00",".00",".00","1332.44","67.51",".00",".00","67.51","1264.93","595.73",".00","2786.48",".00","2786.48","2786.48","1454.04","67.51","1521.55","1264.93","","{5BB8DDA4-0A16-17DF-DE56-06100BDD60A6}"
"407090","467756","1264.93","1245.00",".00",".00","1245.00","2509.93","2179.50",".00",".00","2179.50","330.43","595.73",".00","2786.48","1245.00","4031.48","4031.48","1521.55","2179.50","3701.05","330.43","","{1C0EA30A-FD87-7BA5-20F1-53F1B2EAF096}"
"407091","467766","213373.53","872866.44",".00",".00","872866.44","1086239.97","866055.18",".00",".00","866055.18","220184.79",".00","10283.64","1397011.88","872866.44","2269878.32","2280161.96","1193921.99","866055.18","2059977.17","220184.79","","{8F193FBD-D5E9-DEDB-0B45-DCC1727AC74E}"
"407099","467906","1000.00","1000.00",".00",".00","1000.00","2000.00",".00",".00",".00",".00","2000.00",".00","1000.00","779.78","1000.00","1779.78","2779.78","779.78",".00","779.78","2000.00","","{D31B62F8-E080-5A4B-A2C4-2176BFB5B011}"
"407100","467924","548.93",".00",".00",".00",".00","548.93",".00",".00",".00",".00","548.93",".00","548.93",".00",".00",".00","548.93",".00",".00",".00","548.93","","{743B7FDF-64B5-D6CC-F1D7-D2315A121AD0}"
