"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"400875","469154","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","50.00","50.00",".00",".00",".00",".00",".00","","{0A800FD1-6583-4CF1-C0AC-BA174E8AF9CC}"
"400877","469157","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F9D23C14-1A92-5204-565C-00D8C04D6F19}"
"400879","469159","1","150.00","0",".00","1","50.00","0",".00","2","200.00",".00",".00",".00","200.00","200.00",".00",".00",".00",".00",".00","","{265A426E-12B5-503A-FCA7-50EE0903EBBB}"
"400883","469163","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","308.51","308.51",".00",".00",".00",".00",".00","","{F56AD4A4-3D4B-F688-7E34-21B2031A1A57}"
"400890","469170","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A0B2C85B-70D3-470A-C405-A2DD4DBB85D9}"
"400891","469171","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","63.11","63.11",".00",".00",".00",".00",".00","","{26B43BA6-CE70-FD69-3DDA-FE378F8F375A}"
"400892","469172","20","13125.00","0",".00","4","145.00","1","100.00","25","13370.00",".00",".00","100.00","12305.92","12405.92","601.36",".00","601.36",".00","601.36","","{9D527701-D4DE-6F25-3189-7C337F97A751}"
"400893","469173","3","11500.00","0",".00","1","50.00","0",".00","4","11550.00",".00",".00",".00","2358.73","2358.73","601.36",".00","601.36",".00","601.36","","{C2E03CC8-A464-0284-DFD2-70C46136174B}"
"400894","469174","7","7000.00","0",".00","0",".00","0",".00","7","7000.00",".00",".00",".00","1569.12","1569.12","601.36",".00","601.36",".00","601.36","","{4DDE50B8-D48D-3914-366C-FB3B3328C429}"
"400895","469175","5","8500.00","0",".00","0",".00","0",".00","5","8500.00",".00",".00",".00","2541.71","2541.71","601.36",".00","601.36",".00","601.36","","{2C2B37A6-1F01-2A6D-8FBF-22C57927D1D0}"
"400896","469176","3","1750.00","0",".00","0",".00","0",".00","3","1750.00",".00",".00",".00","9180.83","9180.83","601.36",".00","601.36","601.36",".00","","{6050CC5D-52E8-5BE4-4F08-3BDDEDDD0F8F}"
"400897","469177","1","250.00","0",".00","0",".00","0",".00","1","250.00",".00",".00",".00","1681.69","1681.69",".00",".00",".00",".00",".00","","{4E7CEA18-C501-A95D-A82E-5D0B779B516F}"
"400898","469178","16","8000.00","3","987.81","0",".00","0",".00","19","8987.81",".00","987.81",".00","10938.36","11926.17",".00",".00",".00",".00",".00","","{5253F7B2-1075-811B-E3E0-4622F344CD90}"
"400899","469179","29","26650.00","0",".00","10","635.00","0",".00","39","27285.00",".00",".00",".00","23689.47","23689.47",".00",".00",".00",".00",".00","","{3BC6FD2E-941B-C5F0-BA95-D19383B1BDB9}"
"400900","469180","7","7500.00","0",".00","0",".00","0",".00","7","7500.00",".00",".00",".00","24855.76","24855.76",".00",".00",".00",".00",".00","","{760780B0-6052-3F17-E888-FC98177951CE}"
"400901","469181","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","2451.23","2451.23",".00",".00",".00",".00",".00","","{902E81F2-8325-3FBA-CB95-51413C737067}"
"400902","469182","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4194.74","4194.74",".00",".00",".00",".00",".00","","{34C78D74-276B-880D-E02E-DABBEEB82461}"
"400903","469183","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1015.15","1015.15",".00",".00",".00",".00",".00","","{76AB2FC5-2779-9E7D-4447-CFDC34796646}"
"400904","469184","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","152.71","152.71",".00",".00",".00",".00",".00","","{EA787217-0955-9169-7EE6-932059A3DFA5}"
"400905","469185","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2081.71","2081.71",".00",".00",".00",".00",".00","","{FD59AAFF-3890-8397-09BA-85B023EBB8B6}"
"400906","469186","4","1399.00","0",".00","23","1430.18","0",".00","27","2829.18",".00",".00",".00","3063.88","3063.88",".00",".00",".00",".00",".00","","{E1AA7BF0-4500-F0D2-C104-6AF4771829D0}"
"400909","469189","46","83657.72","4","11683.80","200","5596.41","1","57.23","251","100995.16",".00","11683.80","57.23","117452.45","129193.48",".00",".00",".00",".00",".00","","{0A5782E4-2D54-BC8C-E7F6-8452429822F0}"
"400910","469190","33","232020.71","10","44258.56","85","1827.02","1","99.89","129","278206.18",".00","44258.56","99.89","214565.53","258923.98",".00","2000.00","2000.00",".00","2000.00","","{E90EA9DD-3D5C-1FCF-B7CD-CA0C794773F9}"
"400912","469192","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1725.30","1725.30",".00",".00",".00",".00",".00","","{74800F18-61AF-EB0C-A3C5-0CDBE0E793EE}"
"400937","469218","4","1879.42","0",".00","3","210.00","0",".00","7","2089.42",".00",".00",".00","2627.29","2627.29",".00",".00",".00",".00",".00","","{4FA26361-79FC-4832-D1E2-B5FFC7D5CF6B}"
"400940","469221","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{88B4296B-4A59-19C1-EBDA-2CBF46AE841B}"
"400941","469222","0",".00","0",".00","6","1.17","0",".00","6","1.17",".00",".00",".00","241.00","241.00",".00",".00",".00",".00",".00","","{7961DD98-8A76-A11C-14F5-5D6954CD5B88}"
"400942","469223","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","814.65",".00","814.65",".00","814.65","","{9E200D23-DD73-4DBE-A28A-198C7EFD7889}"
"400947","469228","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9098B5F6-9949-0473-1C39-77B6B45645CB}"
"400956","469238","4","640.00","3","1500.00","3","110.00","0",".00","10","2250.00",".00","1500.00",".00","500.00","2000.00",".00",".00",".00",".00",".00","","{0097E7CC-92D5-5C69-05A4-D87649036DF9}"
"400959","469241","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","529.94","529.94",".00",".00",".00",".00",".00","","{FEBB5383-0D97-64CD-048E-60B4F53EA024}"
"400966","469248","0",".00","0",".00","5","400.00","0",".00","5","400.00",".00",".00",".00","797.89","797.89",".00","786.03","786.03",".00","786.03","","{07EF4226-CE86-B5A0-24A9-7C50E4C5031A}"
