"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"401106","469413","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","152.71","152.71",".00",".00",".00",".00",".00","","{EA787217-0955-9169-7EE6-932059A3DFA5}"
"401107","469415","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E831684D-A1B8-A25F-3558-BAFECD52093D}"
"401108","469414","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2081.71","2081.71",".00",".00",".00",".00",".00","","{FD59AAFF-3890-8397-09BA-85B023EBB8B6}"
"401109","469416","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{593F0CDB-8CE9-D36E-F3D4-16847B28B28D}"
"401110","469417","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{593F0CDB-8CE9-D36E-F3D4-16847B28B28D}"
"401116","469425","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","50.00","50.00",".00",".00",".00",".00",".00","","{DABB739E-B009-8917-5F7D-119E4163C0CF}"
"401119","469428","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{28C3B27F-F75A-0408-4699-C94A12AFE88C}"
"401126","469435","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A4957D46-41E8-2B43-7868-D200CF4F2A32}"
"401127","469436","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9F77A6C2-37F1-E5FC-F56C-720A3F84B819}"
"401128","469437","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9F77A6C2-37F1-E5FC-F56C-720A3F84B819}"
"401143","469455","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{ECC4531A-1C1A-C080-DA2C-94CD7D2D38F0}"
"401144","469456","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{CF1DBB63-F3B8-AF19-7411-63746041733B}"
"401158","469471","4","444.08","1","48.01","1","50.00","0",".00","6","542.09",".00","48.01",".00",".00","48.01","560.00",".00","560.00","560.00",".00","","{D3FBBD7E-8261-2259-F99F-BC263A99885A}"
"401159","469472","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","60.00","60.00",".00",".00",".00",".00",".00","","{6A6C8FF8-F64B-7A2E-ED4F-499DBE6BD5D8}"
"401177","469494","4","2570.37","0",".00","0",".00","0",".00","4","2570.37",".00",".00",".00",".00",".00","7198.83",".00","7198.83","6170.47","1028.36","","{A2717954-6B78-A40E-32F4-E6C22B3EA92B}"
"401182","469499","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{918169CB-EB86-9787-0776-668725C57017}"
"401184","469501","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D8D6DACF-898A-85A9-FC0C-B2893D158560}"
"401190","469507","0",".00","0",".00","0",".00","0",".00","0",".00",".08",".00",".00","298.42","298.42",".00",".00",".00",".00",".00","","{756533DD-4214-07CC-5ED0-CB39814FD4D5}"
"401195","469512","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{32A33BA7-9C3D-80A7-8978-DA15ABAB1662}"
"401201","469518","1","465.69","0",".00","1","100.00","0",".00","2","565.69",".00",".00",".00",".00",".00","1120.00",".00","1120.00","1120.00",".00","","{DFE25F81-CD93-571F-7C1F-6F53ED9A094D}"
"401228","469545","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{918169CB-EB86-9787-0776-668725C57017}"
"401229","469546","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{71ECAE7E-9E40-CC0E-7CAE-975AA7EF4B31}"
"401232","469549","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E511A2F5-D9E6-67EC-2419-D7B4898C5DF9}"
"401233","469550","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{71ECAE7E-9E40-CC0E-7CAE-975AA7EF4B31}"
"401234","469553","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1AA34A21-CEA0-9697-C1BD-FBD61B9843AD}"
"401235","469554","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D17B9F56-576D-8150-2A79-A7422755BBAE}"
"401239","469558","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1E906B45-ECB2-8B04-3516-85F5BB7A4257}"
"401245","469564","14","9600.00","0",".00","3","200.00","0",".00","17","9800.00","4.48",".00",".00","14443.41","14443.41",".00",".00",".00",".00",".00","","{48381EB3-692D-9C27-C678-6E3F07477919}"
"401252","469571","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D74B17E7-8831-032F-A0FA-F8A3465FE3A1}"
"401253","469572","13","11931.00","0",".00","9","590.00","0",".00","22","12521.00",".00",".00",".00","16892.59","16892.59",".00",".00",".00",".00",".00","","{FA230849-3EB9-9749-DF0B-88DBDED21C6B}"
"401260","469579","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{52348051-89BF-2C75-7AD7-FFF390851AC9}"
"401261","469580","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9B4DB729-1C22-091D-E3CF-C38F6999BCB0}"
"401264","469584","2","300.00","0",".00","0",".00","0",".00","2","300.00",".00",".00",".00","200.00","200.00",".00",".00",".00",".00",".00","","{A16C55CB-3158-DB0E-BF11-9614BD81C9E5}"
"401265","469585","3","481.00","3","591.21","0",".00","0",".00","6","1072.21",".00","591.21",".00","579.76","1170.97",".00",".00",".00",".00",".00","","{23E33589-AE1B-17AA-2C65-836614403301}"
"401270","469592","0",".00","1","500.00","0",".00","0",".00","1","500.00",".00","500.00",".00","75.82","575.82",".00",".00",".00",".00",".00","","{E295BC1A-929C-8054-E080-943E17E4E74A}"
"401271","469593","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EF4E5506-B3DB-23B2-55E8-EBC9A23D09CA}"
"401272","469594","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B4C569E9-F81C-1591-77BA-8394F1164704}"
"401273","469595","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F29D4CE9-E86C-7E44-6D53-4A52334A3187}"
"401286","469608","0",".00","0",".00","0",".00","0",".00","0",".00","8.81",".00",".00","43.97","43.97","2500.00",".00","2500.00","2500.00",".00","","{27031926-F988-8BF1-C582-DCB82870DB24}"
"401295","469617","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","234.77","234.77","469.54",".00","469.54","","{B547D6FB-4645-C990-3F38-95DCC19D9887}"
"401296","469618","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8BEF1A69-B744-2C34-FD93-7E96EBADA66E}"
"401299","469621","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","469.54",".00","469.54","234.77","234.77","","{EF5E3672-6C25-4EC6-B816-D0CCF22D5941}"
"401300","469623","11","1460.00","0",".00","32","1196.78","0",".00","43","2656.78",".00",".00",".00","2861.73","2861.73","125.00","50.00","175.00",".00","175.00","","{BDC1714B-A132-2288-0BB7-6C6CDF36EAD5}"
"401308","469631","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","379.25","379.25",".00",".00",".00",".00",".00","","{2E2A992A-6721-0C49-47FA-D0C283B1DAC5}"
"401309","469632","0",".00","0",".00","0",".00","0",".00","0",".00",".02",".00",".00","458.19","458.19",".00",".00",".00",".00",".00","","{7DB94EDB-AFF8-B66B-E131-0AD8954D0F92}"
"401314","469638","1","400.00","5","2174.37","2","120.00","0",".00","8","2694.37",".00","2174.37",".00",".00","2174.37","800.00",".00","800.00",".00","800.00","","{B4F1FC17-3530-5197-EDE0-95EB28D9A431}"
"401320","469649","1","645.96","2","1257.00","2","195.00","0",".00","5","2097.96",".00","1257.00",".00","680.96","1937.96","800.00",".00","800.00","800.00",".00","","{7C7B246E-3615-A50C-8EB4-B25BB5C78D4A}"
"401341","469670","0",".00","3","423.80","0",".00","1","6.50","4","430.30",".00","423.80","6.50",".00","430.30",".00",".00",".00",".00",".00","","{F1AAC6EC-E1AF-412D-DCA8-FD7F2ADED986}"
"401343","469672","2","600.00","1","35.00","1","100.00","2","42.25","6","777.25","352.80","35.00","42.25","89.24","166.49",".00",".00",".00",".00",".00","","{782E1001-7E1E-E60D-7900-90AFBE1CB268}"
"401346","469676","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FEDB86D7-B798-7E3B-FBAB-E73DC1361374}"
"401347","469677","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5C07C9F1-BAC6-8707-43A3-4954EFB4C7B5}"
"401350","469680","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A0775092-985F-448C-5818-0D4F7379DEEF}"
"401355","469685","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1608B3F4-E230-F7D0-609B-D972B458EC18}"
"401357","469687","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00","50.00","50.00","50.00",".00","","{8A51F1A1-A8EE-F26B-F91A-BAD3059BDF30}"
"401370","469703","1","1000.00","0",".00","0",".00","1","10.00","2","1010.00",".00",".00","10.00","50.24","60.24",".00",".00",".00",".00",".00","","{F6ED0C5F-6F7F-4B1A-0E3A-3D0CD126C320}"
"401371","469704","3","5706.79","0",".00","0",".00","2","20.00","5","5726.79",".00",".00","20.00","4196.15","4216.15",".00",".00",".00",".00",".00","","{75AE8C59-F35E-3497-2B41-4FC3055ECE51}"
"401372","469705","1","200.00","0",".00","1","95.83","1","10.00","3","305.83",".00",".00","10.00","2639.04","2649.04",".00",".00",".00",".00",".00","","{A8A49553-E40B-024B-398E-A805CC3E4359}"
"401373","469706","1","2000.00","0",".00","0",".00","2","23.87","3","2023.87","139.00",".00","23.87","2162.53","2186.40",".00",".00",".00",".00",".00","","{94AE9559-37BD-2520-8B99-B420F39D6303}"
"401378","469713","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9B1129DF-B1AD-B344-37D7-98E6E969B0FA}"
"401380","469715","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{967635A7-C686-BD7C-0B5F-83E78C1918E4}"
"401392","469727","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{11639303-A0DA-B4B9-F132-E2652B6E4C50}"
"401393","469728","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DCFD902A-E535-7584-D4CF-BEA6820429DE}"
"401409","469747","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B90BBEA3-16FD-6137-B0A8-2C8392F47368}"
"401410","469748","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8A585C30-6D8B-E0AC-F465-B7EF45E0155F}"
"401415","469753","0",".00","0",".00","1","52.65","0",".00","1","52.65",".00",".00",".00","52.65","52.65",".00","97.35","97.35","97.35",".00","","{ACE7C6EF-0031-D2E8-B65B-16D65B2E3661}"
"401419","469757","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{839873E7-E9CA-D00D-2717-E938EF537D83}"
"401426","469765","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0BAC51F5-9289-2027-0784-1DA290635052}"
"401427","469766","0",".00","0",".00","1","100.00","0",".00","1","100.00",".00",".00",".00","100.00","100.00",".00",".00",".00",".00",".00","","{9045DC0B-CF07-7277-6FF0-5F6A882AD8AB}"
"401437","469776","1","238.38","0",".00","0",".00","0",".00","1","238.38",".00",".00",".00","238.38","238.38",".00","25.00","25.00","25.00",".00","","{830976ED-7476-91B1-DAF0-426761C99881}"
"401454","469795","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B4295723-E8B2-ECF0-196A-8A2DB4C2AF96}"
"401463","469804","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3379BBBA-7F81-6ADB-0AC8-F6BD39CCC05A}"
"401465","469809","27","43925.00","0",".00","17","646.38","0",".00","44","44571.38",".00",".00",".00","17339.27","17339.27",".00",".00",".00",".00",".00","","{55E1C8D4-7B06-9C2E-0428-7D92B6B75A01}"
"401470","469814","2","924.29","0",".00","0",".00","0",".00","2","924.29",".00",".00",".00","924.29","924.29",".00",".00",".00",".00",".00","","{839ADEA2-F893-224A-A629-776CAFAE7E5A}"
"401475","469819","10","2713.30","3","3600.00","12","738.46","0",".00","25","7051.76",".00","3600.00",".00","131.37","3731.37",".00",".00",".00",".00",".00","","{B328B674-60CB-6EFE-B3E7-309AF288DD89}"
"401476","469820","1","25.00","0",".00","0",".00","0",".00","1","25.00",".00",".00",".00","1532.29","1532.29",".00",".00",".00",".00",".00","","{3A397A91-83CC-EF3E-A6BD-D070DBAB16F5}"
"401479","469823","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C3931C5C-AA1C-8E3F-DC8E-4BB7A7220195}"
"401482","469826","1","181.18","0",".00","1","25.00","0",".00","2","206.18",".00",".00",".00","3000.00","3000.00",".00",".00",".00",".00",".00","","{F11A84BA-6CC1-1C9F-D3A5-2950319355D2}"
"401489","469833","1","181.18","0",".00","1","25.00","0",".00","2","206.18",".00",".00",".00","3000.00","3000.00",".00",".00",".00",".00",".00","","{F11A84BA-6CC1-1C9F-D3A5-2950319355D2}"
"401490","469834","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{49FDF7F8-FA7B-9187-6035-B3DC6EC0BDCA}"
"401496","469840","5","8500.00","0",".00","0",".00","0",".00","5","8500.00",".00",".00",".00","85.00","85.00","8500.00",".00","8500.00","8500.00",".00","","{76749099-6120-6C2A-7122-1FEE152209EE}"
"401511","469861","2","450.00","0",".00","9","590.00","0",".00","11","1040.00",".00",".00",".00","326.61","326.61",".00","383.29","383.29",".00","383.29","","{A9B9886F-4D8E-21B0-B8B0-8DFD659A7EA8}"
"401512","469862","1","250.00","0",".00","5","167.00","2","66.23","8","483.23",".00",".00","66.23","551.05","617.28","383.29",".00","383.29","383.29",".00","","{AB4EE7AE-2925-2DF5-C8A7-12A12BD73DBB}"
"401513","469863","1","200.00","1","122.00","11","510.00","1","25.00","14","857.00",".00","122.00","25.00","150.22","297.22",".00","122.00","122.00","122.00",".00","","{F9D55C8B-2D83-AAEF-58CD-8CD99CB39C79}"
"401515","469865","2","450.00","0",".00","9","590.00","0",".00","11","1040.00",".00",".00",".00","709.90","709.90",".00","383.29","383.29",".00","383.29","","{A9B9886F-4D8E-21B0-B8B0-8DFD659A7EA8}"
"401516","469866","1","250.00","0",".00","5","167.00","2","66.23","8","483.23",".00",".00","66.23","551.05","617.28","383.29",".00","383.29","383.29",".00","","{AB4EE7AE-2925-2DF5-C8A7-12A12BD73DBB}"
"401517","469867","1","200.00","1","122.00","11","510.00","1","25.00","14","857.00",".00","122.00","25.00","272.22","419.22",".00","122.00","122.00","122.00",".00","","{F9D55C8B-2D83-AAEF-58CD-8CD99CB39C79}"
"401518","469868","0",".00","0",".00","0",".00","1","9.05","1","9.05",".00",".00","9.05","633.83","642.88",".00",".00",".00",".00",".00","","{D8F25620-A802-A514-3EC8-080A7AC5113C}"
